BRANCH_ID;TYPE;NAME
001;CABANG;UTAMA
002;CABANG;KOTAMOBAGU
003;CABANG;GORONTALO
004;CABANG;TAHUNA
005;CABANG;BITUNG
006;CABANG;KAWANGKOAN
007;CABANG;LIMBOTO
008;CABANG;TONDANO
009;CABANG;TOMOHON
010;CABANG;MARISA
011;CABANG;CALACA
012;CABANG;AMURANG
013;CABANG;SIAU
014;CAPEM;LIRUNG
015;CABANG;TILAMUTA
016;CABANG;JAKARTA
017;CABANG;AIRMADIDI
018;CABANG;SUWAWA
019;CABANG;KWANDANG
020;CABANG;BOROKO
021;CAPEM;KELAPA GADING
022;CABANG;RATAHAN
023;CABANG;SURABAYA
024;CAPEM;CEMPAKA PUTIH
025;CAPEM;MANGGA DUA
026;CABANG;MALANG
027;CABANG;TUTUYAN
028;CAPEM;POPAYATO
029;CAPEM;PASAR SENTRAL
030;CABANG;MOLIBAGU
031;CABANG;LOLAK
032;CAPEM;TAGULANDANG
033;CAPEM;TUMINTING
034;CAPEM;LIKUPANG
035;CAPEM;PAAL DUA
036;CAPEM;PAGUAT
037;CAPEM;MOTOLING
038;CABANG;MELONGUANE
039;CAPEM;MANEMBO-NEMBO
040;CAPEM;RANDANGAN
041;CAPEM;TOLANGOHULA
042;CAPEM;BAHU
043;CAPEM;RANOTANA
044;CAPEM;TAMAKO
045;CAPEM;PAGUYAMAN
046;CAPEM;LANGOWAN
047;CAPEM;SAMRAT
048;CAPEM;BEO
049;CAPEM;TELAGA
050;CAPEM;MOPUYA
051;CAPEM;MODOINDING
