Template Name;Description;Show to Requester;;
Antasena - Error Proses Aplikasi;Error Proses Aplikasi;Yes;;
Antasena - Pendaftaran User;Antasena - Pendaftaran User;Yes;;
Antasena - Reset Password;Lupa Password;Yes;;
Antasena - User Expire;Habis Masa Berlaku User;Yes;;
ARS73 - Error Aplikasi;Untuk error aplikasi ARS73;Yes;;
ARS73 - Mutasi User;Untuk mutasi user ARS73;Yes;;
ARS73 - Pendaftaran User Baru;Pendaftaran User aplikasi ARS 73;Yes;;
ARS73 - Perubahan User;Perubahan User Knowledge Management System;Yes;;
ARS73 -Buka Blokir;Untuk buka blokir user ARS73;Yes;;
ATM - ATMB Error Transfer Antar Bank;ATMB Error/Gagal Transfer Antar Bank;No;;
ATM - Cash Handler;Xmon Error - Cash Handler;No;;
ATM - Cassette Supply/Persediaan Kaset;Xmon Error - Cassette Supply/Persediaan Kaset;No;;
ATM - Communication Offline;Xmon Error - Offline;No;;
ATM - Door Contact Sensor Abnormal;Xmon Error - Door Contact Sensor Abnormal;No;;
ATM - Gagal Cash in/Cash out;Xmon Error - Gagal Cash in/Cash out;No;;
ATM - MCRW Fatal;Xmon Error - MCRW Fatal;No;;
ATM - Receipt Paper Media Out;Xmon Error - Receipt Paper Media Out;No;;
ATM-Pembayaran Citilink;Klaim Pembayaran Citilink;Yes;;
ATM-Pembayaran PBB;Klaim Pembayaran PBB;Yes;;
ATM-Pembayaran Samsat;Klaim Pembayaran Samsat;Yes;;
ATM-Pembayaran Tagihan BigTV;Klaim Pembayaran Tagihan BigTV;Yes;;
ATM-Pembayaran Tagihan BPJS;Klaim Pembayaran Tagihan BPJS;Yes;;
ATM-Pembayaran Tagihan PLN;Klaim Pembayaran Tagihan PLN;Yes;;
ATM-Pembayaran Tagihan PSTN;Klaim Pembayaran Tagihan PSTN;Yes;;
ATM-Pembelian Pulsa Indosat;Klaim Pembelian Pulsa Indosat;Yes;;
ATM-Pembelian Pulsa Telkomsel;Klaim Pulsa Telkomsel;Yes;;
ATM-Pembelian Pulsa Three;Klaim Pembelian Pulsa Three;Yes;;
ATM-Pembelian Pulsa XL;Klaim Pembelian Pulsa XL;Yes;;
ATM-Pembelian Token PLN;Klaim Pembelian Token PLN;Yes;;
ATM-Penarikan ATM Bank Lain;Klaim Penarikan ATMB;Yes;;
ATM-Penarikan ATM Bank Lain >75 Hari;Klaim Penarikan >75 Hari;Yes;;
ATM-Pendaftaran Terminal Baru;ATM-Pendaftaran Terminal Baru;Yes;;
ATM-Pengiriman Log Jurnal;Pemberian Log Jurnal ATM permintaan dari Divisi TI;Yes;;
ATM-Penyelesaian Re-Klaim Bank Lain;-;Yes;;
ATM-Permasalahan Teknis;Permasalahan Teknis ATM;Yes;;
ATM-Permintaan Log Switching;Permintaan Log ATM - Switching;Yes;;
ATM-Perubahan IP;Perubahan IP ATM;Yes;;
ATM-Perubahan Profil;Perubahan Profil ATM;Yes;;
ATM-Transfer ATM Bank Lain;Klaim transaksi transfer ke bank lain;Yes;;
ATM-Transfer Bank Lain > 75 Hari;Klaim transaksi yang sudah melebihi 75 hari;Yes;;
BI Fast - Error;BI Fast - Error;No;;
BI RTGS - Error Aplikasi;BI RTGS - Error Aplikasi;Yes;;
Brocade (Broker) - Mutasi User;Mutasi User Brocade dari Cabang / Capem lain;Yes;;
Brocade (Broker) - Pendaftaran User Baru;Pendaftaran User Host to Host Brocade Divisi Konsumer;Yes;;
Brocade (Broker) - Perubahan User;Perubahan user, aktif, dan Nonaktif;Yes;;
Brocade (Broker) - Reset Password;Reset Password yang lupa;Yes;;
BSG Direct - Gagal Pembayaran;BSG Direct - Gagal Pembayaran;No;;
BSG Direct - Gagal Transfer;BSG Direct - Gagal Transfer;No;;
BSG QRIS - Buka Blokir & Reset Password;Buka Blokir & Reset Password user BSG QRIS;Yes;;
BSG QRIS - Error Transaksi/Aplikasi;BSG QRIS - Error Transaksi/Aplikasi;Yes;;
BSG QRIS - Klaim BI Fast;Klaim gagal transaksi khusus BI Fast;Yes;;
BSG QRIS - Klaim Gagal Transaksi;klaim gagal bayar / transaksi;Yes;;
BSG QRIS - Mutasi User;Mutasi User BSG QRIS;Yes;;
BSG QRIS - Pembelian Data Telkomsel;Klaim gagal pembelian data telkomsel pada aplikasi BSG QRIS;Yes;;
BSG QRIS - Pembelian Pulsa Telkomsel;Klaim gagal pembelian pulsa telkomsel pada aplikasi BSG QRIS;Yes;;
BSG QRIS - Pendaftaran User;Pendaftaran user baru BSG QRIS;Yes;;
BSG QRIS - Perpanjang Masa Berlaku;Perpanjang masa berlaku untuk user BSG QRIS;Yes;;
BSG QRIS - Perubahan User;Perubahan user BSG QRIS;Yes;;
BSG sprint TNP - Error;BSG sprint TNP - Error;Yes;;
BSGbrocade - Error;BSGbrocade - Error;Yes;;
BSGDebit/EDC - Informasi Transaksi Void;-;Yes;;
BSGDebit/EDC - Pembayaran;Gagal Transaksi Menggunakan BSGDebit di mesin EDC;Yes;;
BSGDebit/EDC - Permintaan Salinan Bukti Transaksi;-;Yes;;
BSGDirect - Error Aplikasi;-;Yes;;
BSGDirect - Error Transaksi;-;Yes;;
BSGTouch (Android) - Mutasi User;Mutasi user aplikasi BSGtouch Mobile Sulutgo;Yes;;
BSGTouch (Android) - Pendaftaran User Baru;Pendaftaran User Baru BSGTouch Mobile Sulutgo;Yes;;
BSGTouch (Android) - Buka Blokir dan Reset Password;Buka Blokir (User Tidak Aktif) Karena kelebihan kesalahan password dan Reset Password BSGtouch Mobile Sulutgo;Yes;;
BSGTouch (Android) - Error Registrasi BSGtouch;Error saat melakukan registrasi pada aplikasi BSGTouch (Android);Yes;;
BSGTouch (Android) - Perpanjang Masa Berlaku;Perpanjangan masa aktif / masa aktif User BSGTouch Mobile Sulutgo;Yes;;
BSGTouch (Android) - Perubahan User;Perubahan Wewenang User Mobile Sulutgo;Yes;;
BSGTouch (Android/iOS) - Permintaan Pengiriman SMS Aktivasi;Untuk mengajukan permintaan pengiriman SMS Aktivasi kembali BSGTouch (Android/iOS);Yes;;
BSGTouch (Android/Ios) - Error Aplikasi;-;Yes;;
BSGTouch (iOS) - Error Registrasi BSGTouch (iOS);Error saat melakukan registrasi pada aplikasi BSGTouch (iOS);Yes;;
BSGTouch (iOS) - SMS Aktivasi tidak terkirim;SMS Aktivasi BSGTouch tidak terkirim ke user;Yes;;
BSGtouch - Error Transaksi;Error ketika melakukan transaksi melalui aplikasi BSGtouch;Yes;;
BSGtouch - Pembayaran PBB;Klaim Pembayaran PBB;Yes;;
BSGtouch - Pembayaran Samsat;BSGtouch - Pembayaran Samsat;Yes;;
BSGtouch - Pembayaran Tagihan BPJS;-;Yes;;
BSGtouch - Pembayaran Tagihan Kartu Halo;-;Yes;;
BSGtouch - Pembayaran Tagihan PDAM;Pembayaran Tagihan PDAM melalui aplikasi BSGtouch;Yes;;
BSGtouch - Pembayaran Tagihan PLN;-;Yes;;
BSGtouch - Pembayaran Tagihan PSTN;Pembayaran Tagihan PSTN melalui aplikasi BSGtouch;Yes;;
BSGTouch - Pembelian Pulsa Indosat;Klaim BSGTouch Pembelian Pulsa Indosat;Yes;;
BSGTouch - Pembelian Pulsa Telkomsel;-;Yes;;
BSGTouch - Pembelian Pulsa Three;-;Yes;;
BSGTouch - Pembelian Pulsa XL;-;Yes;;
BSGTouch - Pembelian Token PLN;BSGTouch - Pembelian Token PLN;Yes;;
BSGTouch - Penutupan Akun BSGTouch;Penutupan atau penghapusan akun BSGTouch / nomor rekening / nomor handphone.;Yes;;
BSGTouch - Top-Up BSGcash;Klaim Top-Up BSGcash;Yes;;
BSGTouch - Transfer Antar Bank;BSGTouch- Transfer Antar Bank;Yes;;
Card Center - Laporan Penerimaan Kartu ATM di Cabang;Laporan penerimaan kartu ATM di Cabang /Cabang Pembantu bertujuan untuk memastikan bahwa proses distribusi telah selesai dilakukan dan kartu ATM telah diterima oleh Cabang/Cabang Pembantu.;Yes;;
Card Center - Laporan Penerimaan PIN ATM di Cabang;Laporan penerimaan PIN ATM di Cabang /Cabang Pembantu bertujuan untuk memastikan bahwa proses distribusi telah selesai dilakukan dan kartu ATM telah diterima oleh Cabang/Cabang Pembantu.;Yes;;
Card Center - Laporan Persediaan Kartu ATM;Laporan Persediaan Kartu ATM;Yes;;
Default Request;Default template used for new request creation.;Yes;;
Digital Dashboard - Mutasi user;Mutasi User dari cabang lain;Yes;;
Digital Dashboard - Pendaftaran User;Pendaftaran User Baru Digital Dashboard;Yes;;
Digital Dashboard - Perpanjangan Masa Berlaku;Perpanjangan Masa Berlaku User Digital Dashboard;Yes;;
Digital Dashboard - Perubahan User;Perubahan User Digital Dashboard;Yes;;
Digital Dashboard - Reset Password User;Reset Password User Digital Dashboard;Yes;;
Domain - Pendaftaran/Perubahan User;Pendaftaran/Perubahan untuk user domain BSG.ID;Yes;;
Domain - Reset Password;Reset Password untuk user domain BSG.ID;Yes;;
E-Dapem - Error Transaksi;Template isian jika terjadi error pada transaksi E-Dapem;Yes;;
eLOS - Mutasi User;untuk mutasi user eLOS;Yes;;
eLOS - Pendaftaran Akses VPN;untuk pendaftaran akses jaringan VPN khusus aplikasi eLOS;Yes;;
eLOS - Pendaftaran User;Pendaftaran User Baru eLOS;Yes;;
eLOS - Perubahan User;Perubahan User eLOS;Yes;;
eLOS - Reset Akses User;Untuk melakukan reset akses user yang masih terbaca sedang login padahal posisinya sudah ter-logout.;Yes;;
eLOS - Reset Password User;Reset Password User eLOS;Yes;;
Error - Error Middleware;Seluruh error yang berkaitan dengan middleware;No;;
Error - Rintis PaymentProd;untuk error gagal konek di Rintis PaymentProd;Yes;;
Error Aplikasi;Semua Error aplikasi;Yes;;
Error GoAML - Error Proses;Error GoAML - Error Proses;Yes;;
Error Pinpad;Permasalahan terkait Pinpad;Yes;;
Error Surrounding - BSGTouch Android;untuk seluruh error BSGTouch android;Yes;;
Error Surrounding - BSGTouch IOS;Error Surrounding - BSGTouch IOS;No;;
Error Surrounding - Kasda;Seluruh error yang terjadi pada Kasda;Yes;;
Finnet - Error;Semua yang berkaitan dengan error Finnet;Yes;;
Formulir Serah Terima Komputer;Formulir Serah Terima Komputer;Yes;;
Gangguan Ekstranet BI;Gangguan Ekstranet BI;Yes;;
Gangguan Internet;Gangguan Internet;Yes;;
Gangguan LAN;Gangguan LAN;Yes;;
Gangguan WAN;Gangguan WAN;Yes;;
Hasil Rekonsiliasi;-;No;;
HRMS - Gagal Koneksi;Gagal koneksi aplikasi HRMS;Yes;;
HRMS - Pengaktifan dan Reset Password User;Pengaktifan user atau melakukan reset password HRMS;Yes;;
HRMS - Perubahan IP PC;untuk perubahan IP PC yang terdaftar untuk HRMS;Yes;;
HRMS - User Error;Semua permasalahan user login aplikasi HRMS;Yes;;
Kasda Online - Error Approval Maker;Permasalahan Kasda Online untuk Error Approval Maker;Yes;;
Kasda Online - Error Approval Transaksi;Permasalahan Kasda Online untuk Error Approval Transaksi;Yes;;
Kasda Online - Error Cek Transaksi/Saldo Rekening;Permasalahan Kasda Online untuk Error Cek Transaksi/Saldo Rekening;Yes;;
Kasda Online - Error Lainnya;Permasalahan Kasda Online untuk Error Selain Dari Pada Template yang Telah Tersedia;Yes;;
Kasda Online - Error Login;Permasalahan Kasda Online untuk Error Login;Yes;;
Kasda Online - Error Permintaan Token Transaksi;Permasalahan Kasda Online untuk Error Permintaan Token Transaksi;Yes;;
Kasda Online - Error Tarik Data SP2D (Kasda FMIS);Permasalahan Kasda Online untuk Error Penarikan Data SP2D (Kasda FMIS);Yes;;
Kasda Online - Gagal Pembayaran;Kasda Online - Gagal Pembayaran;Yes;;
Kasda Online - Gagal Transfer;Kasda Online - Gagal Transfer;Yes;;
Kasda Online BUD - Error;Permasalahan error saat menggunakan Kasda Online BUD;Yes;;
Keamanan Informasi;Klaim transaksi terkait incident Teknologi Informasi;Yes;;
KMS - Reset Password;Reset Password untuk user Knowledge Management System;Yes;;
Laporan Rutin Bulanan;Katalog untuk laporan rutin bulanan;No;;
Maintenance Komputer;Maintenance Komputer;Yes;;
Maintenance Printer;Maintenance Komputer;Yes;;
Memo ke Divisi TI;Memo yang ditujukan untuk Divisi TI;Yes;;
MIS - Error MIS;Error Aplikasi MIS / Penyajian data yang tidak lengkap atau tidak sesuai;Yes;;
MPN - Error Transaksi;MPN - Error Transaksi;Yes;;
Ms. Office 365 - Error;Jika terjadi error untuk akun email korporasi;Yes;;
Ms. Office 365 - Pendaftaran Email Baru;Pendaftaran Email Microsoft Baru;Yes;;
Ms. Office 365 - Reset Password;Reset Password Email Corporate Microsoft;No;;
Network - Permintaan Pemasangan Jaringan;Permintaan Pemasangan Jaringan Baru untuk Kantor atau ATM;Yes;;
OBOX - Error Aplikasi;Error Aplikasi OBOX;Yes;;
OLIBs - BE Error;OLIBs - BE Error;Yes;;
OLIBs - Buka Blokir;Buka Blokir User;Yes;;
OLIBs - Error Deposito;OLIBs - Error Deposito;Yes;;
OLIBs - Error Giro;OLIBs - Error Giro;Yes;;
OLIBs - Error Kredit;OLIBs - Error Kredit;Yes;;
OLIBs - Error PRK;OLIBs - Error PRK;Yes;;
OLIBs - Error Tabungan;OLIBs - Error Tabungan;Yes;;
OLIBs - Error User;Error User Olibs;Yes;;
OLIBs - FE Error;OLIBs - FE Error;Yes;;
OLIBs - Gagal Close Operasional;OLIBs - Gagal Close Operasional;Yes;;
OLIBs - Mutasi User Pegawai;Mutasi User Olibs;Yes;;
OLIBs - Non Aktif User;Non Aktif User;Yes;;
OLIBs - Override Password;Override password user;Yes;;
OLIBs - Pendaftaran User Baru;Pendaftaran User Baru;Yes;;
OLIBs - Perubahan Menu dan Limit Transaksi;Perubahan Menu dan Limit Transaksi;Yes;;
OLIBs - Selisih Pembukuan;OLIBs - Selisih Pembukuan;Yes;;
Payroll - Error Proses;Error proses;Yes;;
Payroll - Pendaftaran User;Pendaftaran User Baru Payroll;Yes;;
Payroll - Perubahan User;Perubahan User Payroll;Yes;;
Payroll - Reset Batas Koneksi;Reset Batas Koneksi User Payroll;Yes;;
Pembukaan Operasional Cabang di Hari Libur;Permintaan pembukaan operasional Cabang di Hari Libur;Yes;;
Pendaftaran Terminal Komputer Baru;Pendaftaran Terminal Komputer Baru;Yes;;
Penggantian Kartu;Penggantian Kartu;No;;
Penggantian Mesin;Semua tentang penggantian mesin ATM;Yes;;
Penggantian PIN - Call Center;Penggantian PIN - Call Center;No;;
Penutupan Kartu;Penutupan Kartu;Yes;;
Permintaan - Penyelesaian Selisih ATM;untuk permintaan penyelesaian selisih kas ATM;Yes;;
Permintaan - Upload Data DHN;khusus OL untuk permintaan upload data DHN ke sistem OLIBs;Yes;;
Permintaan Akses Flashdisk/Harddisk/SSD;Permintaan Akses Flashdisk/Harddisk/SSD karena terblokir oleh Anti-Virus;Yes;;
Permintaan Data Lain;Permintaan Data Lain;Yes;;
Permintaan Data Softcopy Rekening Koran;Permintaan data Rekening Koran;Yes;;
Permintaan Lainnya;Permintaan lain yang tidak tersedia pada template;Yes;;
Permintaan Lainnya BSGtouch;-;No;;
Permintaan Pengembangan Aplikasi;Permintaan Pengembangan Aplikasi;Yes;;
Permintaan Perpanjangan Waktu Operasional;Permintaan Perpanjangan Waktu Operasional;Yes;;
Permintaan Perubahan Nomor PK Kredit;Permintaan Perubahan Nomor PK Kredit (Digunakan oleh Divisi Pemilik Produk);Yes;;
Permintaan Softcopy RC;Permintaan Softcopy RC;Yes;;
Perubahan Denom;Perubahan Denom;Yes;;
Portal - IT Hepldesk - Pendaftaran User;Pendaftaran User Portal SMS Banking;Yes;;
PSAK 71 - Error Aplikasi;PSAK 71 - Error Aplikasi;Yes;;
Report Viewer 724 - Error;untuk error akses, tidak ada data, tidak lengkap data;Yes;;
Report Viewer 724 - Selisih;Selisih data report;Yes;;
Samsat - Error Transaksi;Samsat - Error Transaksi;Yes;;
SIKP - Error;Error aplikasi SIKP;Yes;;
SIKP - Error Aplikasi;SIKP - Error Aplikasi;Yes;;
SIKP - Pendaftaran user;Pendaftaran User aplikasi Sistem Informasi Kredit Program;Yes;;
SKNBI - Error Aplikasi;Error Aplikasi SKNBI;Yes;;
SKNBI - Mutasi User;SKNBI - Mutasi User;Yes;;
SKNBI - Pendaftaran User;Pendaftaran User Baru user SKNBI;Yes;;
SKNBI - Perubahan User;Perubahan Status dan Wewenang user SKN-BI;Yes;Johanes Pangkey;Yes
SKNBI - Reset Password;Reset Password user SKN-BI;Yes;Johanes Pangkey;Yes
SLIK - Error;Error aplikasi SLIK;Yes;Departemen Operasional IT;Yes
SMS Banking - Error;Error SMS Banking;Yes;Departemen Operasional IT;Yes
SMS Banking - Mutasi user;Mutasi User dari cabang lain;Yes;Departemen Operasional IT;Yes
SMS Banking - Pendaftaran User;Pendaftaran User Portal SMS Banking;Yes;Johanes Pangkey;Yes
SMS Banking - Perubahan User;Perubahan Wewenang User SMS Banking;Yes;Johanes Pangkey;Yes
SMS Banking - Reset Password;Reset Password User SMS Banking;Yes;Departemen Operasional IT;Yes
SMSBanking-Pembayaran PBB;Klaim Pembayaran PBB;Yes;Johanes Pangkey;Yes
