Categories;Subcategories;Items
ATM;Pendaftaran Terminal ATM Baru;
ATM;Selisih ATM;
ATM;Permasalahan Teknis;
ATM;Perubahan ATM;Perubahan Denom
ATM;Perubahan ATM;Perubahan Profil
ATM;Perubahan ATM;Perubahan IP
Card Center;Penutupan Kartu;Penutupan Kartu
Card Center;Penggantian PIN/Kartu;Penggantian PIN
Card Center;Penggantian PIN/Kartu;Penggantian Kartu
Error Surrounding;BSGTouch Android;
Error Surrounding;MPN-CTAS;
Error Surrounding;SMS-Banking;
Error Surrounding;Finnet Middleware (TellerApp/Kasda/SMS);
Error Surrounding;Rintis PaymentProd;
Error Surrounding;BSGTouch iOS;
Error Surrounding;Teller-App/Reporting;
Error Surrounding;Kasda;
Error User Aplikasi;E-Dapem;
Error User Aplikasi;Ecardman Cabang;Error CMS
Error User Aplikasi;BSG Sprint TNP;
Error User Aplikasi;Antasena;
Error User Aplikasi;Apuppt;Error APUPPT
Error User Aplikasi;ARS 73;
Error User Aplikasi;BI Fast;
Error User Aplikasi;BSGbrocade;
Error User Aplikasi;BSGdirect;
Error User Aplikasi;GoAML;
Error User Aplikasi;OBOX;
Error User Aplikasi;PSAK 71;
Error User Aplikasi;Report Viewer 724;
Error User Aplikasi;BSGsms;
Error User Aplikasi;BI - RTGS;
Error User Aplikasi;BSGTouch;BSGTouch
Error User Aplikasi;KASDA;
Error User Aplikasi;SKN - BI;
Error User Aplikasi;SLIK;Error Data SLIK
Error User Aplikasi;HRMS;
Error User Aplikasi;Interface SKN;Error Transaksi
Error User Aplikasi;Kasda V.1;Error Transaksi
Error User Aplikasi;LKPBU;Error data LKPBU
Error User Aplikasi;MPN;Error Transaksi
Error User Aplikasi;OLIBs;FE Gagal Connect
Error User Aplikasi;OLIBs;BE Gagal Connect
Error User Aplikasi;OLIBs;Ext Gagal Connect
Error User Aplikasi;OLIBs;Hist Gagal Connect
Error User Aplikasi;OLIBs;Error PRK
Error User Aplikasi;OLIBs;Error Kredit
Error User Aplikasi;OLIBs;Selisih Pembukuan
Error User Aplikasi;OLIBs;Error Tabungan
Error User Aplikasi;OLIBs;Error Giro
Error User Aplikasi;OLIBs;Error Deposito
Error User Aplikasi;OLIBs;Gagal Close Operasional
Error User Aplikasi;Payroll;
Error User Aplikasi;PBB;Error Transaksi
Error User Aplikasi;Samsat;Error Transaksi
Error User Aplikasi;Finnet;
Error User Aplikasi;SIKP;
Error User Aplikasi;BSG QRIS;
Hardware/Sowftware;Instalasi;Instalasi Sistem Operasi(Hardening)
Hardware/Sowftware;Instalasi;Instalasi Perangkant Lunak
Hardware/Sowftware;Maintenance;Maintenance Komputer
Hardware/Sowftware;Maintenance;Maintenance Printer
Jaringan;Gangguan Jaringan;Gangguan LAN
Jaringan;Gangguan Jaringan;Gangguan WAN
Jaringan;Gangguan Jaringan;Gangguan Ekstranet BI
Jaringan;Gangguan Jaringan;Gangguan Internet
Klaim;Klaim Kasda Online;
Klaim;Klaim TellerApp;Klaim TellerApp
Klaim;Klaim BSG Touch;Top-Up BSGcash
Klaim;Klaim BSG Touch;Transfer Bank Lain > 75 Hari
Klaim;Klaim BSG Touch;Transfer Bank Lain
Klaim;Klaim BSG Touch;Transfer ATM Bank Lain Interkoneksi
